#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/signup;200;OK;text/html;4480
2;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;application/javascript;483
3;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;text/css;32
4;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;text/css;15
5;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;text/css;15
6;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;application/javascript;16
7;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;application/javascript;16
8;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6;200;OK;application/javascript;16
9;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/validator.jsp;200;OK;text/javascript;218
10;POST;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/signup;302;Found;;3432
11;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu;200;OK;text/html;62
12;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;15
13;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;16
14;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;16
15;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css;200;OK;text/css;16
16;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;16
17;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;16
18;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js;200;OK;application/javascript;15
