127.0.0.1 - - [30/Dec/2012:11:35:26 +0800] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [30/Dec/2012:11:35:33 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:35:34 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:35:34 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:35:48 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/login HTTP/1.1" 200 5355
127.0.0.1 - - [30/Dec/2012:11:35:52 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93435
127.0.0.1 - - [30/Dec/2012:11:35:56 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101265
127.0.0.1 - - [30/Dec/2012:11:35:57 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16520
127.0.0.1 - - [30/Dec/2012:11:35:57 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css HTTP/1.1" 200 4273
127.0.0.1 - - [30/Dec/2012:11:35:57 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25743
127.0.0.1 - - [30/Dec/2012:11:35:58 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1902
127.0.0.1 - - [30/Dec/2012:11:35:58 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1460
127.0.0.1 - - [30/Dec/2012:11:36:01 +0800] "POST /ServiceContractSystem-0.0.1-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:01 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/app/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:02 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 200 5065
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/login HTTP/1.1" 200 5355
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93435
127.0.0.1 - - [30/Dec/2012:11:36:04 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101265
127.0.0.1 - - [30/Dec/2012:11:36:05 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16520
127.0.0.1 - - [30/Dec/2012:11:36:05 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css HTTP/1.1" 200 4273
127.0.0.1 - - [30/Dec/2012:11:36:05 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25743
127.0.0.1 - - [30/Dec/2012:11:36:06 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1902
127.0.0.1 - - [30/Dec/2012:11:36:06 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1460
127.0.0.1 - - [30/Dec/2012:11:36:06 +0800] "POST /ServiceContractSystem-0.0.1-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:06 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/app/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:06 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 200 5065
