#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/signup;200;OK;text/html;1285
2;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;application/javascript;47
3;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;text/css;15
4;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;text/css;16
5;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/style.css;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;text/css;16
6;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;application/javascript;15
7;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;application/javascript;15
8;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/script.js;jsessionid=BD968DB0A581ECEFE921531223D02F95;200;OK;application/javascript;16
9;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/validator.jsp;200;OK;text/javascript;125
10;POST;http://localhost:8081/test02-0.0.1-SNAPSHOT/signup;302;Found;;1452
11;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/mainMenu;200;OK;text/html;32
12;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;15
13;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;16
14;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;15
15;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/styles/style.css;200;OK;text/css;15
16;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;15
17;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;16
18;GET;http://localhost:8081/test02-0.0.1-SNAPSHOT/scripts/script.js;200;OK;application/javascript;16
