#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT;302;Found;;15
2;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/;302;Found;;16
3;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu;302;Found;;47
4;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/login;200;OK;text/html;31
5;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;16
6;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;16
7;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;16
8;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css;200;OK;text/css;15
9;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;16
10;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;15
11;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js;200;OK;application/javascript;16
12;POST;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/j_security_check;302;Found;;31
13;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/app/mainMenu;302;Found;;15
14;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu;200;OK;text/html;32
15;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/services/;200;OK;text/html;1716
16;GET;http://localhost:8081/ServiceContractSystem-0.0.1-SNAPSHOT/services//?stylesheet=1;200;OK;text/css;15
